,Title,Date,Project Center,Location,Subject Terms,Link,Alternative Link,Advisors,Initials,Notes,Link to summary,Goal,Stakeholders,Impact,Headline,Follow-up,Category,Sub_Category
69,Recommendations To Improve Quality Of Life At The Pakkred Home,01-01-03,"Bangkok, Thailand","Bangkok, Thailand",Women--health | Mental Health,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832937004746&docid=alma9936832937004746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=4958&context=iqp-all,"Demetry, Chrysanthe | Vaz, Richard F.",CS,Lots of visuals in the report,https://docs.google.com/document/d/1kNq2jvuVAh3KMiJITqgYG9Liy7lCK6kLNU-hi5vnSRc/edit?usp=sharing,"To identify needs for improvement, generate a prioritized list of these needs, and develop recommendations for improvement at Pakkred Home","International Support Group, Pakkred Home, girls in Pakkred Home","Developed a lengthy list of recommendations to improve quality of life, including repairing toilets and the water distribution system",Improving quality of life at a girls home,Evaluate current state of facility,Health,No Sub-Category
70,Talking About Food: Improving Communication Between Ghanaian Women And Medical Practitioners,03-09-14,On-campus,"Worcester, MA",Women--health | Medical Care,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832949604746&docid=alma9936832949604746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-030914-205013/unrestricted/IQP_Final_Report.pdf,"Elmes, Michael B.| Hersh, Robert",AN,,https://docs.google.com/document/d/1grCp_zNZjGl6ZuC418MluCJLa5e5ZD6KKpvDI3hKe4k/edit?usp=sharing,"To address communication barriers between medical practitioners and Ghanaian women on issues related to nutrition, food preparation, and the role of food in Ghanaian culture, by producing educational videos targeted at medical practitioners",Ghanian patients and medical practitioners,"Produced videos to help improve communication between medical practitioners and the Ghanaian community about nutrition, food choices, and the cultural aspect of eating",Bettering nutrition for Ghanian women,,Health,No Sub-Category
60,Social And Technological Aspects Of Ru486.,01-01-99,On-campus,"Worcester, MA",Women--health,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832832404746&docid=alma9936832832404746&lang=en,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/99D324I.pdf,"Jamison, Wesley V.",AN,,https://docs.google.com/document/d/1rg-jBT7-QocWK2tYl-dkdhMrkjMOpEzzHYIjzQhU52I/edit?usp=sharing,To develop an educational web page with info about RU486 and other abortion techniques (including procedural) and the pros and cons of each technique,Women,"Listed three main issues to the abortion debate: status of the embryo, how to access facts surrounding the issue, and the debate about abortion is actually a debate about the role of a person
",Social and technological aspects of abortion,,Health,Reproductive
61,Exploring Intravaginal Ring Acceptability For Disease Prevention Among At-risk Community Members In Cape Town,12/14/2017,"Cape Town, South Africa","Cape Town, South Africa",Public Health|women--health,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936833039004746&docid=alma9936833039004746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-121417-014811/unrestricted/IQP_FINAL_REPORT.pdf,"Bulled, Nicola| Skorinko, Jeanine L.",CS,"The report itself is visually pleasing, and there is a good infographic in the appendix",https://docs.google.com/document/d/1cPdRkhz9gzmbtJZKU4H1Q0QbKrk1qvLWhcLTVAHPTas/edit?usp=sharing,To explore IVR acceptability and accessibility preferences within at-risk populations outside of the context of a clinical trial in order to assess promoters and barriers to product adherence that may ultimately affect product efficacy,"Sizakuyenza, at-risk men and women in Cape Town","Found that women had limited use of intravaginal products (such as tampons), which might present difficulties when inserting the IVR; both men and women would appreciate the additional protection; and misuse and stigmatization surrounds IVRs
",Exploring IVR acceptability in Cape Town,Follow up to determine if stigmas have changed,Health,Reproductive
62,Supporting Breastfeeding Mothers At Work And At Home In Indonesia,4/19/2018,On-campus,"Worcester, MA",Women--health | Community Development,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936895942204746&docid=alma9936895942204746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-041918-103255/unrestricted/Supporting_Breastfeeding_Mothers_at_Work_and_at_Home_in_Indonesia.pdf,"Stoddard, Elisabeth A.",AN,,https://docs.google.com/document/d/1sxAayHaZZHLXWMVTcnFUoBv8iZXSPqGekvaOXwv8SSg/edit?usp=sharing,To understand the challenges that women working in factories in Indonesia face in providing breastmilk to their infants,"Babies in Common, breastfeeding mothers in Indonesia","Found that that there was a need for greater educational and policy support at the home, work, and community level for breastfeeding",Supporting breastfeeding mothers in Indonesia,,Health,Reproductive
48,A Study Of Patient Treatment Scheduling At The Gillette Center For Women's Cancers.,01-01-03,"Boston, Massachusetts","Boston, Massachusetts",Automation |women--health,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832912604746&docid=alma9936832912604746&lang=en,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/03D178I.pdf,"Demetry, Chrysanthe| Volkoff, Olga",CS,,https://docs.google.com/document/d/1FYTy9JFIbIncUcKrkmYQQGn20CYL_cQmEobmCNpDpKM/edit?usp=sharing,Sought to determine requirements for treatment calendars and the problems associated with this creation process,Patients and research coordinators at Gillette Center for Women’s cancers,Recommendations were made for a treatment calendar system and software; recommended system was low cost and had to ability to create and save multiple calendars,Treatment schedules for Gillette Center for Women's Cancers,,Health,Women's Cancers
49,Breast Cancer In Thailand: Developing Effective And Accessible Media On Integrative Therapies For Breast Cancer Patients,03-03-11,"Bangkok, Thailand","Bangkok, Thailand",Medical Care| Women--health,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936833137204746&docid=alma9936833137204746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-030311-203732/unrestricted/BBC_FinalReport_March4.pdf,"Davis, Paul W.| deWinter, Jennifer",CS,,https://docs.google.com/document/d/1rxG_hbE2zAtUc8ZNh7DxAvKX715xIT1CKTq3lQMz4M8/edit?usp=sharing,To develop media in the form of a DVD that will educate and inform breast cancer patients about integrative therapies,"Bangkok Breast Cancer Support Group, Queen Sikrit Centre for Breast Cancer, breast cancer patients in Thailand","Created a DVD with nine chapters that introduced yoga and meditation with discussion of their benefits, discussed survivor stories and their experiences with integrative therapies, and provided demonstrations for using yoga and meditation
",Interactive media for breast cancer patients,,Health,Women's Cancers
50,Breast Cancer Information In The Media.,01-01-99,On-campus,"Worcester, MA",Women--health,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832896804746&docid=alma9936832896804746&lang=en,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/99D311I/99D311I.pdf,"Demetry, Chrysanthe",CS,,https://docs.google.com/document/d/1TBuL2uRyMhbVuwt-HBecq84tudee5Yj3SnDlisMkKPU/edit?usp=sharing,To explore the manner in which young women viewed breast cancer information presented by a magazine and a scientific journal; to determine whether women with different educational background would respond differently to these two types of articles,Female students at WPI and Becker College,"Found that the response to two different sources was due to more than just the affiliated school (e.g. scientific literacy, reading abilities, etc.)",Breast cancer information in the media,,Health,Women's Cancers
51,Promoting Awareness And Early Detection Of Breast Cancer In Thailand,03-04-10,"Bangkok, Thailand","Bangkok, Thailand","Websites--design And Construction|education, Higher",https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936833022004746&docid=alma9936833022004746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-030410-043448/unrestricted/Breast_Cancer_Awareness_Group_-_Final_IQP_Report.pdf,"Robertson, Thomas B.| Servatius, Brigitte",AN,,https://docs.google.com/document/d/1ASTnUbA2vAFMkyX55TIUNRHeGWqr2OapcnGMSwKgC0w/edit?usp=sharing,"To assist the Bangkok Breast Cancer Support Group and the Queen Sirikit Centre for Breast Cancer develop a brochure, catalogue, and website that provides accurate, accessible, and up-to-date information on breast cancer, as well as to determine strategies for the BBCs and the Centre to further expand the current awareness of breast cancer and breast cancer treatment in Thailand","Bangkok Breast Cancer Support Group, Queen Sirikit Centre for Breast Cancer, breast cancer patients in Thailand","There is a communication gap between Thai medical professionals and the general Thai public about breast cancer and the brochure, catalogue, and website that were developed are potential means for the Queen Sirikit Centre for Breast Cancer and Bangkok Breast Cancer Support Group to mend the communication gap",,,Health,Women's Cancers
52,Supporting The Fight Against Cancer In Morocco: Database Implementation And Data Management For Association Jannat,03-01-19,"Rabat, Morocco","Rabat, Morocco",Electronic Data Processing | Public Health | Women--health,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936869295704746&docid=alma9936869295704746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-030119-210608/unrestricted/AssocJannat_FinalPaper.pdf,"El-Korchi, Tahar| Miller, Fabienne",AN,Lots of visuals in the report,https://docs.google.com/document/d/1mRvDpfRM8ftdtyUuY20b6F-4Q2O5a2eTWYWyEUd8TpI/edit?usp=sharing,To enhance the data management of Association Jannat through the creation and implementation of a database,"Association Jannat, patients with Association Jannat","Created a database to streamline data management, which decreased the amount of time and energy staff dedicated towards administrative duties, allowing them to focus on caring for patients; this database also allows the association to present summary statistics about their operations to potential donors and the media",,,Health,Women's Cancers
94,Science Museum -- Creating The Morphing Image Database.,03-03-00,"London, England","London, England",Computer Simulation | Electronic Data Processing,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832920504746&docid=alma9936832920504746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=5124&context=iqp-all,"Ault, Holly K. | Brattin, Joel J.",AN,Gender was just one component of the analysis,https://docs.google.com/document/d/13kTSvhrqhKApryFV0sduQRPls5z9q8DdoTib2FaieRc/edit?usp=sharing,To develop and implement a strategy to create an image database that would be compatible with the morphing interactives,"London Science Museum, museum visitors",Created strong average images that produced impressive morphs during testing,,,Other,No Sub-Category
95,"Walk Newton: A Study Of Pedestrian Mobility In Newton, Ma",05-04-10,On-campus,"Newton, MA",Local Transit,https://web.wpi.edu/Pubs/E-project/Available/E-project-050410-163107/unrestricted/Pedestrian_Mobility_Final_Report.pdf,https://web.wpi.edu/Pubs/E-project/Available/E-project-050410-163107/unrestricted/Pedestrian_Mobility_Final_Report.pdf,"Vaz, Richard F. | Demetry, Chrysanthe",AN,one of the sponsors was a women's organization,https://docs.google.com/document/d/1OLco9qpVnxYjX8m9Q_M9A_EYogcZLN1CUGr7dAsn-ug/edit?usp=sharing,to recommend improvements for greater pedestrian mobility in four of Newton’s villages,"Newton’s Planning and Development Department, League of Women Voters, community of Newton","Identified challenges facing mobility and the opportunities for increasing mobility in each area by assessing conditions, observing pedestrians, and interviewing residents",,,Other,No Sub-Category
96,Evaluating The Effects Of Camp Reach On The Middle School Teachers,03-03-12,On-campus,"Worcester, MA",Teaching,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832608704746&docid=alma9936832608704746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=1242&context=iqp-all,"Demetry, Chrysanthe | Sontgerath, Suzanne",AN,Camp Reach is a program for middle school girls to participate in STEM,https://docs.google.com/document/d/1N_vnMRVL35EXStV8gSXTtfzGF99pzzew2m_zPUrtc0A/edit?usp=sharing,To evaluate the effectiveness of Camp Reach as a professional development program,"Middle school teachers, Camp REACH","Results showed that teachers’ knowledge of engineering and classroom usage of engineering increased, and led to the recommendation that the MSTs be provided with a lesson plan that can be utilized directly in their classrooms based off certain camp activities ",,,Other,No Sub-Category
97,Gender Neutral Bathrooms,Mar-16,On-campus,WPI,Equality | Equality -- Social Aspects |community Engagement,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832609804746&docid=alma9936832609804746&lang=en,https://web.wpi.edu/Pubs/E-project/Available/E-project-032116-165406/unrestricted/GNBIQP_FinalPaper.pdf,"Hall-Phillips, Adrienne",AN,report discusses making bathrooms more accessible to anyone outside gender binary,https://docs.google.com/document/d/1QVroWQpVgZ6jDF-DHxrVcnINHF_GlfYbXT4rbuQOQ-E/edit?usp=sharing,To implement gender neutral bathrooms at WPI,"WPI, WPI students, students who use gender neutral bathrooms","The survey results indicated that conversion of some single stall gender specific bathrooms on our campus to gender neutral bathrooms would be acceptable to our general community, and would improve bathroom experiences for those who indicated a preference for gender neutral bathrooms",,,Other,No Sub-Category
98,A Future Scientists And Engineers Club For Doherty Hs -- A Pilot Project,01-01-06,On-campus,"Worcester, MA",Engineering--study And Teaching |science--study And Teaching | Women In Engineering,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832959704746&docid=alma9936832959704746&lang=en,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/06E047I.pdf,"Wilkes, John  M.",CS,Only mentioned girls in passing,https://docs.google.com/document/d/17T7tfoI40WNrFIgzY-EZxNmVK7RVnrJC-591xxukTCM/edit?usp=sharing,Ultimate goal is to help high school students achieve career aspirations,"Students at Doherty Memorial High School, Worcester City Manager’s Advisory Committee on the Status of Women (ACSW)",Answered questions about science and engineering; had two meetings a week- one was general and the other focused on a specific grade level. Was not committed to involving girls,,,Other,No Sub-Category
